NAME : Antwerp2
COMMENT : 
TYPE : CVRP
DIMENSION : 7001
EDGE_WEIGHT_TYPE : EUC_2D
EDGE_WEIGHT_FORMAT : 
CAPACITY : 100
DISTANCE : 1.79769e+308
SERVICE_TIME : 0
NODE_COORD_SECTION
1 300 1500
2 1685 1805
3 926 1352
4 1018 485
5 1751 1942
6 636 1196
7 1821 1436
8 1719 742
9 1266 1048
10 1615 1091
11 1606 1161
12 636 1681
13 1673 1065
14 682 885
15 1331 877
16 987 1339
17 714 916
18 1332 1063
19 720 1390
20 171 1903
21 1350 1555
22 763 894
23 451 918
24 806 411
25 1225 1397
26 1007 1554
27 6 490
28 455 1202
29 812 585
30 1460 412
31 936 1720
32 279 1158
33 209 986
34 1463 1638
35 1688 717
36 1263 487
37 415 1827
38 1197 1578
39 1459 1169
40 1076 903
41 1359 1343
42 817 1652
43 300 1866
44 707 1252
45 1410 1587
46 899 1618
47 150 1906
48 534 430
49 436 1337
50 1842 652
51 626 621
52 1562 1941
53 1547 1867
54 365 1008
55 1341 300
56 299 857
57 1884 1422
58 1665 1985
59 473 733
60 1407 1521
61 798 1050
62 1975 1667
63 1060 339
64 981 1733
65 568 1638
66 1676 290
67 60 329
68 1005 1197
69 1311 1209
70 915 563
71 1325 1445
72 540 1250
73 734 624
74 872 226
75 41 1136
76 891 1239
77 578 541
78 1034 758
79 1084 315
80 1396 695
81 700 777
82 1821 1423
83 246 1940
84 202 943
85 544 732
86 617 1168
87 769 1090
88 163 1017
89 1364 1317
90 1754 1655
91 353 1059
92 720 810
93 1824 1538
94 1196 1451
95 576 1043
96 407 1822
97 1348 587
98 1281 1244
99 1878 151
100 1042 453
101 1057 295
102 1069 724
103 1071 801
104 734 790
105 953 878
106 932 784
107 1397 844
108 1781 633
109 1383 1457
110 261 1195
111 924 1579
112 1994 724
113 1454 1573
114 1018 492
115 1088 886
116 1089 1811
117 536 1357
118 1397 834
119 1864 1552
120 1322 716
121 806 321
122 630 884
123 599 126
124 1396 935
125 1980 1788
126 1309 1655
127 1360 947
128 1093 744
129 1888 39
130 1248 77
131 147 1120
132 291 1442
133 1147 1015
134 761 1633
135 627 256
136 707 491
137 1160 1226
138 684 1415
139 229 1057
140 316 1596
141 922 1513
142 105 1243
143 658 177
144 1801 1488
145 954 1720
146 548 1316
147 1073 1814
148 884 1740
149 737 1424
150 657 418
151 682 485
152 880 587
153 884 265
154 739 1454
155 503 336
156 932 1581
157 1000 542
158 1002 945
159 1141 1522
160 1178 351
161 1588 1209
162 1958 1154
163 1332 838
164 1389 896
165 1541 1227
166 220 1271
167 501 610
168 644 879
169 984 1230
170 54 1122
171 1086 636
172 1575 1164
173 1492 1237
174 1242 147
175 680 1496
176 1149 946
177 1165 481
178 585 1395
179 1340 1400
180 1721 1925
181 1182 1587
182 725 1389
183 707 1517
184 1222 1575
185 1606 963
186 610 1214
187 796 433
188 1018 758
189 867 940
190 1261 1967
191 1301 1494
192 608 631
193 503 1126
194 1404 1530
195 868 977
196 988 1794
197 1375 711
198 696 716
199 1879 145
200 856 1341
201 1337 586
202 504 1226
203 1107 1636
204 1682 1043
205 1886 906
206 593 1579
