NAME : Brussels1
COMMENT : 
TYPE : CVRP
DIMENSION : 15001
EDGE_WEIGHT_TYPE : EUC_2D
CAPACITY : 50
NODE_COORD_SECTION
1 1000 1000
2 966 1075
3 1014 941
4 441 814
5 1286 128
6 311 867
7 531 292
8 646 1500
9 933 803
10 1238 175
11 614 773
12 1158 1140
13 1869 968
14 1062 851
15 963 1253
16 711 1498
17 720 1015
18 1396 1480
19 1562 1069
20 1089 260
21 1481 431
22 1057 1166
23 1142 903
24 615 1957
25 1253 834
26 1399 1643
27 753 1131
28 488 433
29 899 1223
30 1013 967
31 1162 833
32 1218 1224
33 1454 1491
34 1367 1344
35 1246 1486
36 1621 788
37 559 1364
38 1014 829
39 925 200
40 1710 946
41 1756 1005
42 1328 1364
43 1179 851
44 1442 1071
45 1097 128
46 1122 1587
47 1014 951
48 1761 886
49 1418 1093
50 1190 1279
51 1708 914
52 901 1620
53 1225 1105
54 1220 487
55 501 267
56 1485 759
57 953 1194
58 746 577
59 1076 1546
60 1377 1266
61 325 599
62 566 469
63 1173 940
64 1537 895
65 391 929
66 1395 902
67 600 1532
68 829 963
69 870 1137
70 888 1176
71 880 869
72 1127 1029
73 962 1069
74 394 1227
75 1587 1337
76 1280 1030
77 1074 516
78 489 682
79 1222 1177
80 1669 1112
81 1106 1150
82 1329 643
83 977 1187
84 1826 1233
85 1360 65
86 889 751
87 143 1369
88 845 1150
89 1104 995
90 1320 1382
91 704 977
92 1259 1484
93 758 739
94 988 1520
95 1067 1094
96 900 1067
97 541 1467
98 1041 961
99 889 1011
100 1030 864
101 1330 1032
102 348 702
103 1242 847
104 1260 990
105 1088 653
106 1572 851
107 757 859
108 1329 1079
109 1207 921
110 910 123
111 1325 1193
112 1478 169
113 811 1162
114 874 567
115 571 739
116 1586 1029
117 1273 931
118 630 872
119 781 1211
120 1198 807
121 805 1358
122 987 1196
123 1406 1535
124 1409 1613
125 1152 927
126 439 388
127 815 1368
128 1152 1428
129 1455 510
130 1056 1131
131 1232 21
132 1434 1351
133 1033 927
134 1134 966
135 1418 1615
136 377 763
137 418 672
138 1282 1149
139 1433 932
140 1410 739
141 1117 949
142 986 787
143 550 512
144 1659 1166
145 1131 987
146 793 1101
147 1447 1040
148 1001 720
149 990 969
150 981 1575
151 743 1274
152 902 1146
153 1450 918
154 747 1331
155 1229 1068
156 822 1188
157 1214 719
158 780 981
159 1327 940
160 418 735
161 1104 995
162 855 721
163 446 1225
164 1192 911
165 1256 1002
166 1307 1087
167 681 678
168 651 1576
169 1080 1600
170 732 1160
171 1288 1065
172 1213 582
173 829 930
174 661 1638
175 915 700
176 916 1433
177 936 1168
178 770 1441
179 910 1372
180 1580 997
181 1166 992
182 1054 1501
183 1272 513
184 1070 1130
185 729 1816
186 1339 975
187 1196 1768
188 1610 850
189 1714 945
190 1169 944
191 1351 391
192 1203 816
193 679 1595
194 1013 1139
195 1453 1352
196 1498 1065
197 1362 1331
198 955 1247
199 868 771
200 660 1550
201 1051 872
202 1415 946
203 1021 956
204 1397 1241
205 978 1016
206 1133 726
207 1726 1077
208 1281 1118
209 1265 1031
210 997 1133
211 1120 933
212 826 632
