NAME : Leuven2
COMMENT : 
TYPE : CVRP
DIMENSION : 4001
EDGE_WEIGHT_TYPE : EUC_2D
EDGE_WEIGHT_FORMAT : 
CAPACITY : 150
DISTANCE : 1.79769e+308
SERVICE_TIME : 0
NODE_COORD_SECTION
1 300 500
2 957 942
3 908 1104
4 742 1101
5 307 1511
6 588 1545
7 257 1424
8 457 1375
9 847 962
10 586 990
11 1189 864
12 875 628
13 569 1389
14 299 1287
15 417 1227
16 650 1113
17 681 1377
18 647 1384
19 619 259
20 633 1310
21 774 1388
22 666 1050
23 564 1514
24 760 1203
25 745 1402
26 400 1616
27 536 1029
28 735 1240
29 585 1293
30 1012 1509
31 742 1272
32 942 1320
33 459 1195
34 1024 1751
35 724 1389
36 569 48
37 695 1416
38 627 1448
39 937 1333
40 937 1732
41 926 1427
42 935 936
43 850 1797
44 924 1241
45 1039 1704
46 373 1231
47 1021 1310
48 189 1400
49 1078 1052
50 1284 1226
51 663 1355
52 576 1161
53 345 1367
54 718 1195
55 572 1649
56 1050 798
57 716 1295
58 605 945
59 844 730
60 732 1379
61 541 1124
62 84 1570
63 746 1521
64 249 1468
65 1024 1768
66 907 1263
67 294 1198
68 602 401
69 317 1489
70 620 1720
71 703 1326
72 825 1092
73 1204 1011
74 893 905
75 588 1115
76 825 1010
77 905 1170
78 4 1712
79 912 1029
80 957 1791
81 1057 1056
82 820 1180
83 153 1519
84 414 1223
85 510 1295
86 543 1111
87 944 1718
88 687 1154
89 1012 1819
90 587 1338
91 152 1547
92 840 684
93 337 1771
94 445 1097
95 289 1190
96 728 1281
97 1105 1212
98 779 250
99 800 1781
100 914 171
101 459 1254
102 926 1709
103 1156 958
104 676 1562
105 1106 789
106 1003 1215
107 561 1124
108 836 1337
109 1323 1257
110 530 1714
111 503 1386
112 664 1279
113 871 1705
114 401 1690
115 692 1192
116 679 1570
117 291 1679
118 729 1398
119 786 1548
120 503 1624
121 778 512
122 574 1347
123 552 1138
124 772 1282
125 662 1051
126 765 1188
127 1043 1714
128 961 1054
129 997 69
130 885 1153
131 572 998
132 630 919
133 556 1321
134 700 1194
135 1162 1154
136 774 1164
137 842 1287
138 639 1577
139 681 1163
140 492 1498
141 1130 1355
142 560 1375
143 637 1277
144 537 1188
145 663 1492
146 863 119
147 994 1075
148 434 1675
149 1022 1661
150 620 1538
151 910 790
152 807 1721
153 604 1215
154 508 968
155 775 1248
156 954 1724
157 893 1246
158 587 1349
159 590 876
160 711 1370
161 851 1708
162 290 1582
163 760 1516
164 863 1353
165 853 1393
166 263 1484
167 489 1212
168 631 1130
169 213 1386
170 742 1195
171 615 1005
172 777 1043
173 898 1464
174 1008 792
175 557 1597
176 847 1182
177 749 687
178 776 1246
179 672 1227
180 900 309
181 897 725
182 697 1092
183 266 1411
184 475 1120
185 1131 1071
186 529 237
187 954 1702
188 702 1183
189 1136 903
190 888 1088
191 619 1004
192 703 1196
193 744 1126
194 307 1413
195 921 1210
196 935 1233
197 935 1560
198 903 317
199 855 1300
200 464 1602
201 1206 1215
202 951 1266
203 699 1154
204 900 696
205 837 1201
206 622 1312
207 564 1332
208 693 1660
209 777 1038
210 713 1271
