NAME : Ghent2
COMMENT : 
TYPE : CVRP
DIMENSION : 11001
EDGE_WEIGHT_TYPE : EUC_2D
EDGE_WEIGHT_FORMAT : 
CAPACITY : 170
DISTANCE : 1.79769e+308
SERVICE_TIME : 0
NODE_COORD_SECTION
1 500 600
2 1343 1316
3 1343 1129
4 272 1061
5 1290 1042
6 1456 1235
7 836 1577
8 1527 853
9 1329 343
10 660 1058
11 1157 1016
12 1613 694
13 1101 1168
14 595 1165
15 834 1464
16 1293 717
17 1716 622
18 1306 1321
19 1019 898
20 1033 1455
21 1492 1116
22 633 697
23 132 1259
24 1353 1281
25 1238 1010
26 1379 885
27 1550 1388
28 1075 1250
29 1209 524
30 1001 1140
31 987 573
32 1126 1102
33 970 1063
34 1384 1093
35 1005 1318
36 1238 759
37 1225 1310
38 1138 607
39 627 1022
40 605 1690
41 1264 1340
42 1269 1605
43 1376 1389
44 1339 1171
45 869 1996
46 1188 930
47 716 1435
48 1282 1104
49 1742 790
50 985 985
51 1221 1441
52 1213 846
53 888 1464
54 1033 505
55 743 1691
56 1212 1080
57 1020 973
58 1276 1005
59 1115 956
60 1227 607
61 1226 835
62 933 1563
63 1340 1275
64 1087 1180
65 1552 898
66 1290 1077
67 1229 873
68 1625 351
69 1742 672
70 808 461
71 1018 1169
72 545 968
73 1405 1288
74 1218 1009
75 1234 740
76 1196 684
77 1235 1309
78 1334 1003
79 1139 1557
80 1299 1012
81 1053 674
82 1453 1288
83 1126 1086
84 1169 1190
85 1209 1101
86 1069 1785
87 1097 1761
88 1197 1004
89 1501 810
90 1079 985
91 1281 1017
92 29 1112
93 555 1011
94 1201 1264
95 843 1502
96 1198 720
97 1427 1214
98 1083 1290
99 732 640
100 1462 1272
101 1059 1503
102 1127 451
103 619 1483
104 1083 1987
105 1259 1132
106 1195 966
107 1073 1808
108 1223 1104
109 1538 281
110 1146 930
111 1726 101
112 1680 1486
113 1268 1135
114 1244 1030
115 1584 894
116 1431 1319
117 1499 1033
118 1692 4
119 1014 1781
120 1226 979
121 293 1327
122 1050 1264
123 287 1289
124 1184 1393
125 1321 1017
126 1274 1064
127 1396 1333
128 1143 1260
129 1281 1294
130 1135 1240
131 322 922
132 807 1378
133 1067 762
134 1262 1181
135 1289 1344
136 1848 625
137 1067 1965
138 1162 1083
139 1651 311
140 1315 1343
141 1316 1094
142 1174 929
143 1081 1280
144 581 1081
145 1465 1004
146 1192 1052
147 1085 930
148 1011 936
149 321 1396
150 1113 1226
151 1219 1025
152 1462 1263
153 1691 727
154 776 742
155 535 1214
156 1003 1171
157 1097 1279
158 1509 1305
159 1425 940
160 1473 1392
161 108 1345
162 967 920
163 896 873
164 1349 1241
165 1228 1290
166 1593 605
167 1339 1148
168 1062 1044
169 804 1424
170 1255 1481
171 1741 644
172 1120 1157
173 1199 1142
174 1205 996
175 1379 946
176 1475 1054
177 1378 1184
178 429 1129
179 1857 64
180 1299 1111
181 758 564
182 1408 819
183 1136 534
184 1011 944
185 1573 1409
186 1167 383
187 1093 1065
188 400 1062
189 1300 1380
190 1046 1156
191 1286 1081
192 7 1166
193 1111 1091
194 748 713
195 540 1099
196 1106 1053
