NAME : X-n351-k40
COMMENT : "Generated by Uchoa, Pecin, Pessoa, Poggi, Subramanian, and Vidal (2013)"
TYPE : CVRP
DIMENSION : 351
EDGE_WEIGHT_TYPE : EUC_2D
EDGE_WEIGHT_FORMAT : 
CAPACITY : 436
DISTANCE : 1.79769e+308
SERVICE_TIME : 0
NODE_COORD_SECTION
1 500 500
2 740 442
3 261 710
4 578 522
5 562 509
6 795 425
7 636 463
8 645 617
9 595 524
10 649 599
11 745 252
12 180 757
13 590 598
14 332 775
15 544 551
16 1000 444
17 581 521
18 240 609
19 700 468
20 735 579
21 403 569
22 352 905
23 733 352
24 289 705
25 598 249
26 565 570
27 711 336
28 816 497
29 769 411
30 409 651
31 231 742
32 575 555
33 567 477
34 693 537
35 521 534
36 457 414
37 826 450
38 638 617
39 245 744
40 235 859
41 233 821
42 863 455
43 739 480
44 311 717
45 567 373
46 753 427
47 547 493
48 732 382
49 664 511
50 945 316
51 250 770
52 598 493
53 262 653
54 568 558
55 877 808
56 395 796
57 467 732
58 685 327
59 260 910
60 571 648
61 747 398
62 571 650
63 541 442
64 841 466
65 744 725
66 662 349
67 686 543
68 184 776
69 177 770
70 664 559
71 802 446
72 110 559
73 662 566
74 605 544
75 287 671
76 556 738
77 615 511
78 293 693
79 375 671
80 383 614
81 834 417
82 704 397
83 255 696
84 708 388
85 799 172
86 298 531
87 740 456
88 661 582
89 664 398
90 659 461
91 630 290
92 267 721
93 682 474
94 269 639
95 577 361
96 540 550
97 370 733
98 546 587
99 708 412
100 724 572
101 416 688
102 544 794
103 714 478
104 916 502
105 313 770
106 464 361
107 356 921
108 776 470
109 477 721
110 733 447
111 724 495
112 272 792
113 491 471
114 348 505
115 168 309
116 595 628
117 227 720
118 781 585
119 228 680
120 807 595
121 582 503
122 327 603
123 505 586
124 235 788
125 135 677
126 716 440
127 221 678
128 633 421
129 826 476
130 879 350
131 738 475
132 676 446
133 388 669
134 465 690
135 543 422
136 675 544
137 770 613
138 309 590
139 434 594
140 647 551
141 468 405
142 0 863
143 663 582
144 209 755
145 966 516
146 580 593
147 221 558
148 230 594
149 329 768
150 786 523
151 636 512
152 704 474
153 819 376
154 516 472
155 724 505
156 565 501
157 404 589
158 663 527
159 901 693
160 254 640
161 726 813
162 253 708
163 269 730
164 823 519
165 586 689
166 739 421
167 706 519
168 726 423
169 614 525
170 239 690
171 643 328
172 793 426
173 221 731
174 290 732
175 709 310
176 654 492
177 745 370
178 459 639
179 618 570
180 613 528
181 808 359
182 652 434
183 258 637
184 722 421
185 837 321
186 68 544
187 191 686
188 535 578
189 242 624
190 371 387
191 835 757
192 671 445
193 764 425
194 771 480
195 242 763
196 670 520
197 580 482
198 292 823
199 547 443
200 807 780
201 520 622
202 797 356
203 555 484
204 747 340
205 228 846
206 760 446
207 734 451
208 604 277
209 790 405
210 680 445
211 741 460
212 244 758
213 632 536
214 600 503
215 562 518
216 672 398
217 620 425
218 852 489
219 577 553
220 235 755
221 879 359
222 187 725
223 724 328
224 775 451
225 283 660
226 195 572
227 830 457
228 205 739
229 733 341
230 884 418
231 434 452
232 716 458
233 495 573
234 579 545
235 228 725
236 604 417
237 806 347
238 420 730
239 626 499
240 555 449
241 326 598
242 551 554
243 177 983
244 794 430
245 771 573
246 135 683
247 487 291
248 239 703
249 789 477
250 273 752
251 521 478
252 677 456
253 505 327
254 453 744
255 321 753
256 509 497
257 749 451
258 633 815
259 796 429
260 341 677
261 797 485
262 571 649
263 276 631
264 857 439
265 587 776
266 750 412
267 752 393
268 338 657
