NAME : Flanders2
COMMENT : 
TYPE : CVRP
DIMENSION : 20001
EDGE_WEIGHT_TYPE : EUC_2D
CAPACITY : 50
NODE_COORD_SECTION
1 15000 6000
2 26379 4198
3 12741 4107
4 5081 7158
5 16205 7533
6 17485 6114
7 10292 7295
8 17074 7362
9 14177 7476
10 9566 5451
11 14407 4082
12 13181 4462
13 12301 5507
14 14212 7949
15 9614 5635
16 13856 9379
17 25558 6284
18 16148 4527
19 15187 4088
20 15562 3390
21 7379 4477
22 12698 6237
23 17903 4998
24 13367 6008
25 12530 4784
26 7233 6726
27 10149 5777
28 17258 7590
29 15579 8042
30 3472 3159
31 18794 2545
32 19720 8640
33 13956 3481
34 14763 7954
35 19075 4956
36 14515 8037
37 9630 6487
38 1863 3983
39 14183 7150
40 15589 6164
41 15066 8106
42 9023 6073
43 12052 9077
44 3836 8762
45 14750 8551
46 5019 7783
47 13130 4048
48 18122 6870
49 15028 2857
50 22944 7079
51 17093 4254
52 14877 7112
53 21926 5332
54 15967 8678
55 24113 7517
56 9660 5759
57 14955 3260
58 14334 8802
59 23714 7807
60 15106 3934
61 18751 6004
62 13980 8293
63 18427 7686
64 15128 6800
65 20547 3252
66 15981 8936
67 21014 4828
68 14674 8184
69 21135 8270
70 12538 3551
71 15973 8961
72 18848 8292
73 13208 5796
74 14474 8488
75 15344 7577
76 11707 7856
77 14072 7138
78 18492 7890
79 20727 8581
80 16140 4466
81 22761 7716
82 18370 1759
83 14798 5196
84 12784 7745
85 14264 8713
86 25069 4797
87 13230 3904
88 14517 8002
89 14733 4759
90 18422 4042
91 22426 7754
92 20250 8529
93 19140 8629
94 9536 6079
95 17698 2401
96 18187 6276
97 18546 2280
98 14823 8052
99 20063 6313
100 17420 7574
101 9393 6592
102 15157 7846
103 14990 3699
104 5880 8232
105 21424 3855
106 18635 6775
107 17026 5821
108 15176 475
109 22064 4057
110 15608 2531
111 14439 7324
112 8394 6174
113 332 7117
114 16515 2948
115 2492 3534
116 14369 8104
117 14979 3524
118 14366 5525
119 2600 5791
120 5810 8393
121 8788 5617
122 9263 4361
123 14839 3650
124 12020 9703
125 15028 5267
126 1852 8547
127 21689 7203
128 12722 7506
129 4552 5111
130 17736 3780
131 12349 6984
132 19496 1686
133 15133 7678
134 5545 8128
135 10211 5785
136 17185 8233
137 14874 3370
138 5421 3406
139 25596 6359
140 12152 6274
141 15198 3841
142 2727 3227
143 4104 2436
144 11267 6288
145 15082 3920
146 14901 8246
147 16380 3222
148 14585 6655
149 19666 6837
150 5548 8376
151 19340 3212
152 11664 7301
153 14574 8198
154 15222 4315
155 8110 6087
156 15325 6865
157 17034 4559
158 14674 8034
159 12117 8627
160 25056 5366
161 5481 3544
162 20690 2970
163 21033 6604
164 5499 3697
165 21554 4869
166 14315 7488
167 16740 7990
168 19445 3210
169 11526 7108
170 21519 9553
171 14814 3751
172 20039 6336
173 12384 8166
174 11601 5458
175 15206 3953
176 14912 5290
177 13878 8890
178 5302 8474
179 19928 6052
180 17436 7814
181 2970 5989
182 10673 4544
183 18546 2997
184 24329 6709
185 18241 8097
186 11456 7111
187 20430 7518
188 15033 7996
