NAME : Flanders2
COMMENT : 
TYPE : CVRP
DIMENSION : 30001
EDGE_WEIGHT_TYPE : EUC_2D
CAPACITY : 200
NODE_COORD_SECTION
1 20000 7000
2 11029 8460
3 11691 6965
4 14917 8244
5 11920 8428
6 24572 6969
7 14728 8184
8 23886 3896
9 14534 9406
10 5286 3506
11 18184 1305
12 15249 1764
13 8232 4843
14 18403 1757
15 14985 8104
16 24086 7165
17 13254 6000
18 18500 7178
19 8337 9125
20 19283 2172
21 21141 8685
22 15033 8489
23 12819 4281
24 6026 1906
25 17328 303
26 14631 8168
27 16443 4669
28 15036 3539
29 22566 6935
30 7079 7181
31 19629 3229
32 4881 8971
33 13932 3706
34 12150 3517
35 1139 4823
36 11753 5325
37 10214 6178
38 14563 7753
39 14644 4961
40 15206 2711
41 13405 6122
42 15147 4731
43 14339 8636
44 23822 8906
45 15457 2633
46 14979 3661
47 14785 8321
48 15101 3512
49 14515 8516
50 13626 6931
51 14882 3765
52 10737 5321
53 9217 5709
54 13559 6056
55 19299 2249
56 16931 4860
57 15406 5884
58 15184 7919
59 17342 7551
60 12622 4748
61 15562 1583
62 5864 6864
63 21195 8062
64 15214 7928
65 18945 4635
66 17093 7773
67 14377 8016
68 3377 4110
69 15290 4902
70 19018 4695
71 15184 8267
72 11807 3493
73 14928 8311
74 14091 1867
75 21710 6785
76 5562 8296
77 22396 3314
78 13694 7575
79 15714 6095
80 13886 8369
81 8229 6331
82 18389 2216
83 10327 5034
84 15489 3712
85 17768 7622
86 16461 3501
87 15122 960
88 24181 4874
89 14922 1950
90 14396 8347
91 15327 4065
92 17525 5460
93 20109 6462
94 15176 3725
95 15014 2748
96 12892 4018
97 6326 7762
98 5327 3590
99 15319 3798
100 11394 6636
101 8167 3908
102 17471 2761
103 15330 7624
104 6326 6115
105 4338 7204
106 14509 4699
107 16040 1501
108 16075 8858
109 9887 4701
110 4857 2217
111 3223 3468
112 7130 4925
113 18335 3206
114 11423 8400
115 8456 9233
116 24343 3915
117 6126 1701
118 21891 5952
119 12973 4436
120 16359 4210
121 15363 3857
122 15217 6855
123 15246 4317
124 14898 3644
125 9698 5770
126 9963 7157
127 15651 3143
128 14871 8231
129 5659 3490
130 24923 7463
131 16375 2639
132 16664 6530
133 14315 8071
134 12444 4465
135 11032 6178
136 14685 4756
137 15692 2407
138 15913 7272
139 8942 6373
140 11434 4933
141 5435 3501
142 23994 9279
143 21062 4934
144 8378 7500
145 5883 8214
146 17690 5531
147 19288 6023
148 15041 8340
149 23306 3344
150 5224 3634
151 12641 7772
152 14920 8286
153 14126 7690
154 14874 3656
155 17990 7901
156 18748 8036
157 15984 3248
158 11866 9075
159 24300 6102
160 6790 4540
161 2929 3281
162 2732 3322
163 12830 5321
164 23849 6510
165 11318 6333
166 14612 8066
167 14887 3500
168 17768 7296
169 16826 1912
170 14933 8491
171 18462 6326
172 3977 8779
173 22496 7015
174 8731 6723
175 8761 7137
176 14844 8240
177 7784 6629
178 15311 8246
179 15614 3431
180 14904 3839
181 23595 8765
182 13311 8867
183 19091 9040
184 5070 4671
185 14361 5770
186 14050 8170
187 6453 4499
188 12266 7839
